Estado,Bioma,Latitude,Longitude,Mês,Temperatura,Umidade,Precipitacao,NDVI,Focos_Calor,Declividade,Distancia_Rios,Uso_Solo,Nivel_Risco
GO,Cerrado,-14.25809,-50.34309,Janeiro,40.9,71.9,62.9,0.697,20,8.7,4332.9,Cerrado/Savana,Baixo
MT,Cerrado/Amazônia,-13.78795,-57.17208,Agosto,20.9,68.1,107.8,0.677,27,33.6,2427.7,Pastagem,Médio
PA,Amazônia,-3.86298,-52.53281,Novembro,16.3,86.8,4.4,0.243,37,31.7,3622.9,Pastagem,Baixo
BA,Caatinga,-14.69454,-41.00253,Fevereiro,22.9,29.6,79.1,0.561,20,15.4,3532.7,Área Urbana,Médio
GO,Cerrado,-17.22347,-53.07415,Novembro,36.2,17.3,235.7,0.686,38,6.8,689.0,Floresta,Alto
PR,Mata Atlântica,-22.64599,-50.86416,Novembro,35.3,14.7,81.4,0.692,39,38.1,254.2,Área Urbana,Alto
AM,Amazônia,-3.58741,-62.73841,Agosto,20.6,84.6,96.4,0.381,30,12.6,4201.4,Pastagem,Baixo
GO,Cerrado,-13.73438,-45.20927,Junho,20.3,92.7,27.1,0.539,6,30.8,2456.7,Pastagem,Baixo
PA,Amazônia,-4.86683,-54.27445,Agosto,32.3,35.7,189.8,0.776,51,18.5,4052.3,Cerrado/Savana,Médio
BA,Caatinga,-12.8117,-41.05414,Junho,27.4,68.9,53.3,-0.099,7,31.3,1492.4,Pastagem,Médio
MT,Cerrado/Amazônia,-16.20429,-56.41825,Maio,36.4,10.8,376.4,0.676,35,19.3,4310.5,Pastagem,Alto
PA,Amazônia,-4.88536,-50.74049,Maio,15.7,26.0,500.0,0.725,16,37.0,4155.8,Floresta,Alto
PA,Amazônia,-3.70682,-52.56324,Outubro,31.5,68.6,297.2,0.24,8,32.0,1914.5,Pastagem,Alto
AM,Amazônia,-1.19804,-59.16648,Outubro,34.7,15.6,10.6,0.771,7,10.4,2064.4,Floresta,Baixo
RS,Pampa,-29.98807,-50.60272,Novembro,41.8,49.8,48.6,0.758,58,17.2,1761.0,Pastagem,Médio
BA,Caatinga,-15.23095,-43.87646,Agosto,33.3,66.3,348.4,0.771,31,4.0,183.8,Pastagem,Alto
MG,Cerrado,-19.76729,-45.21543,Julho,21.3,75.1,195.9,-0.08,6,36.1,3441.4,Agricultura,Alto
PA,Amazônia,-7.18418,-52.78399,Agosto,17.9,48.6,290.5,0.794,25,2.8,1370.9,Floresta,Alto
RS,Pampa,-30.65056,-49.62366,Dezembro,32.3,63.6,102.0,0.684,21,0.7,4421.2,Floresta,Baixo
MG,Cerrado,-19.22216,-47.98008,Agosto,29.1,55.9,78.6,0.023,37,19.9,4487.9,Agricultura,Baixo
BA,Caatinga,-12.39137,-41.7213,Julho,39.3,14.4,13.5,0.321,73,24.1,3615.7,Cerrado/Savana,Médio
SP,Mata Atlântica,-24.84307,-46.4875,Fevereiro,34.6,73.1,219.5,0.52,2,8.9,916.0,Agricultura,Alto
PR,Mata Atlântica,-26.5029,-51.05524,Novembro,28.8,24.7,164.0,0.608,24,22.8,455.6,Floresta,Alto
RS,Pampa,-26.08061,-53.93841,Setembro,25.9,12.7,7.3,0.473,88,35.8,4084.1,Agricultura,Médio
CE,Caatinga,-5.87436,-40.66476,Julho,25.9,48.3,28.2,0.85,18,25.0,4466.4,Floresta,Baixo
SP,Mata Atlântica,-24.19989,-45.10011,Dezembro,21.1,83.6,97.8,0.874,65,18.2,1766.7,Cerrado/Savana,Médio
PR,Mata Atlântica,-24.07576,-50.27685,Novembro,15.5,22.8,138.4,0.129,16,5.8,1771.3,Área Urbana,Médio
